price,type,postalcode,city,url,floorsize,bedrooms,bathrooms,seller
"$409,900",Condo for sale,92126,San Diego,https://www.zillow.com/homedetails/11156-Kelowna-Rd-UNIT-56-San-Diego-CA-92126/16781730_zpid/,964,2 bds,2 ba,"<div class=""list-card-truncate"">RC Realty of San Diego</div>"
"$295,000",Condo for sale,92110,San Diego,https://www.zillow.com/homedetails/2628-Worden-St-UNIT-136-San-Diego-CA-92110/16965618_zpid/,668,1 bd,1 ba,"<div class=""list-card-truncate"">Utopia Real Estate</div>"
"$270,000",Condo for sale,92102,San Diego,https://www.zillow.com/homedetails/241-50th-St-APT-44-San-Diego-CA-92102/61240518_zpid/,792,3 bds,2 ba,"<div class=""list-card-truncate"">Coronado Island Realty</div>"
"$275,000",Condo for sale,92119,San Diego,https://www.zillow.com/homedetails/6924-Hyde-Park-Dr-UNIT-113-San-Diego-CA-92119/17197217_zpid/,688,1 bd,1 ba,"<div class=""list-card-truncate"">Carlsbad CA</div>"
"$470,000",Condo for sale,92115,San Diego,https://www.zillow.com/homedetails/5197-68th-St-San-Diego-CA-92115/16998202_zpid/,"1,421",2 bds,2 ba,"<div class=""list-card-truncate"">Active Realty</div>"
"$999,000",House for sale,92124,San Diego,https://www.zillow.com/homedetails/10805-Corte-Playa-Majorca-San-Diego-CA-92124/52514741_zpid/,"2,230",4 bds,3 ba,"<div class=""list-card-truncate"">Coldwell Banker West</div>"
"$1,200,000",House for sale,92106,San Diego,https://www.zillow.com/homedetails/2883-Farragut-Rd-San-Diego-CA-92106/61240029_zpid/,"2,305",3 bds,3 ba,"<div class=""list-card-truncate"">Yarbrough Group</div>"
"$739,000",House for sale,92128,San Diego,https://www.zillow.com/homedetails/11630-Caminito-Corriente-San-Diego-CA-92128/16796894_zpid/,"1,619",3 bds,2 ba,"<div class=""list-card-truncate"">Redfin Corporation</div>"
"$374,900",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/101-Market-St-UNIT-102-San-Diego-CA-92101/65398739_zpid/,695,1 bd,1 ba,"<div class=""list-card-truncate"">Compass</div>"
"$849,000",House for sale,92126,San Diego,https://www.zillow.com/homedetails/11040-Polaris-Dr-San-Diego-CA-92126/16818204_zpid/,"2,132",5 bds,3 ba,"<div class=""list-card-truncate"">Redfin Corporation</div>"
"$1,799,999",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/230-W-Laurel-St-UNIT-1005-San-Diego-CA-92101/17065978_zpid/,"2,850",3 bds,3 ba,"<div class=""list-card-truncate"">Reef Point Realty, Inc</div>"
"$1,987,000",House for sale,92109,San Diego,https://www.zillow.com/homedetails/5409-Castle-Hills-Dr-San-Diego-CA-92109/16912198_zpid/,"2,080",4 bds,2 ba,"<div class=""list-card-truncate"">eXp Realty of California Inc</div>"
"$749,900",Coming soon,92115,San Diego,https://www.zillow.com/homedetails/5361-Collier-Ave-San-Diego-CA-92115/16995233_zpid/,"1,149",3 bds,2 ba,"<div class=""list-card-truncate"">Solis Team Real Estate with Keller Williams Realty</div>"
"$485,000",Townhouse for sale,92115,San Diego,https://www.zillow.com/homedetails/6623-Reservoir-Ct-San-Diego-CA-92115/16999197_zpid/,"1,740",3 bds,2 ba,"<div class=""list-card-truncate"">Century 21 Award</div>"
"$1,475,000",House for sale,92116,San Diego,https://www.zillow.com/homedetails/4179-Norfolk-Ter-San-Diego-CA-92116/16948701_zpid/,"1,946",2 bds,2 ba,"<div class=""list-card-truncate"">Keller Williams La Jolla</div>"
"$345,000",Condo for sale,92109,San Diego,https://www.zillow.com/homedetails/840-Turquoise-St-UNIT-316-San-Diego-CA-92109/63477817_zpid/,460,Studio,1 ba,"<div class=""list-card-truncate"">Keller Williams La Jolla</div>"
"$889,000",Condo for sale,92103,San Diego,https://www.zillow.com/homedetails/3275-Fifth-Ave-APT-504-San-Diego-CA-92103/2085556239_zpid/,"1,356",2 bds,2 ba,"<div class=""list-card-truncate"">Pacific Sotheby's Int'l Realty</div>"
